frame,payload_bytes,net_bps,channel,snr_3k_db,frames,acquired,decoded,genie_decoded
tone-control,7,17.5,awgn,-26,100,2,0,0
tone-control,7,17.5,awgn,-25,100,1,0,0
tone-control,7,17.5,awgn,-24,100,7,0,0
tone-control,7,17.5,awgn,-23,100,22,0,0
tone-control,7,17.5,awgn,-22,100,53,1,1
tone-control,7,17.5,awgn,-21,100,85,17,27
tone-control,7,17.5,awgn,-20,100,99,78,86
tone-control,7,17.5,awgn,-19,100,100,100,100
tone-control,7,17.5,awgn,-18,100,100,100,100
tone-control,7,17.5,awgn,-17,100,100,100,100
tone-control,7,17.5,awgn,-16,100,100,100,100
tone-control,7,17.5,awgn,-15,100,100,100,100
tone-control,7,17.5,awgn,-14,100,100,100,100
tone-control,7,17.5,good,-26,100,11,5,6
tone-control,7,17.5,good,-24,100,19,9,10
tone-control,7,17.5,good,-22,100,33,17,18
tone-control,7,17.5,good,-20,100,59,44,46
tone-control,7,17.5,good,-18,100,68,55,56
tone-control,7,17.5,good,-16,100,84,76,78
tone-control,7,17.5,good,-14,100,92,88,90
tone-control,7,17.5,good,-12,100,94,84,86
tone-control,7,17.5,good,-10,100,100,98,98
tone-control,7,17.5,good,-8,100,100,99,99
tone-control,7,17.5,good,-6,100,100,98,98
tone-control,7,17.5,good,-4,100,100,100,100
tone-control,7,17.5,moderate,-26,100,2,0,0
tone-control,7,17.5,moderate,-24,100,16,4,5
tone-control,7,17.5,moderate,-22,100,29,10,18
tone-control,7,17.5,moderate,-20,100,69,42,49
tone-control,7,17.5,moderate,-18,100,81,58,65
tone-control,7,17.5,moderate,-16,100,97,80,81
tone-control,7,17.5,moderate,-14,100,98,93,95
tone-control,7,17.5,moderate,-12,100,100,100,99
tone-control,7,17.5,moderate,-10,100,100,100,100
tone-control,7,17.5,moderate,-8,100,100,100,100
tone-control,7,17.5,moderate,-6,100,100,100,100
tone-control,7,17.5,moderate,-4,100,100,100,100
tone-control,7,17.5,poor,-26,100,1,0,0
tone-control,7,17.5,poor,-24,100,6,0,0
tone-control,7,17.5,poor,-22,100,29,1,3
tone-control,7,17.5,poor,-20,100,70,25,32
tone-control,7,17.5,poor,-18,100,92,70,68
tone-control,7,17.5,poor,-16,100,99,89,91
tone-control,7,17.5,poor,-14,100,98,97,99
tone-control,7,17.5,poor,-12,100,100,100,100
tone-control,7,17.5,poor,-10,100,100,100,100
tone-control,7,17.5,poor,-8,100,100,100,100
tone-control,7,17.5,poor,-6,100,100,100,100
tone-control,7,17.5,poor,-4,100,100,100,100
tone-24,24,35.8,awgn,-26,100,0,0,0
tone-24,24,35.8,awgn,-25,100,1,0,0
tone-24,24,35.8,awgn,-24,100,4,0,0
tone-24,24,35.8,awgn,-23,100,29,0,0
tone-24,24,35.8,awgn,-22,100,51,0,0
tone-24,24,35.8,awgn,-21,100,90,0,0
tone-24,24,35.8,awgn,-20,100,98,17,17
tone-24,24,35.8,awgn,-19,100,100,92,97
tone-24,24,35.8,awgn,-18,100,100,100,100
tone-24,24,35.8,awgn,-17,100,100,100,100
tone-24,24,35.8,awgn,-16,100,100,100,100
tone-24,24,35.8,awgn,-15,100,100,100,100
tone-24,24,35.8,awgn,-14,100,100,100,100
tone-24,24,35.8,good,-26,100,6,1,1
tone-24,24,35.8,good,-24,100,22,1,1
tone-24,24,35.8,good,-22,100,41,14,15
tone-24,24,35.8,good,-20,100,55,32,33
tone-24,24,35.8,good,-18,100,75,38,40
tone-24,24,35.8,good,-16,100,85,63,64
tone-24,24,35.8,good,-14,100,95,73,74
tone-24,24,35.8,good,-12,100,96,89,89
tone-24,24,35.8,good,-10,100,100,96,95
tone-24,24,35.8,good,-8,100,100,97,96
tone-24,24,35.8,good,-6,100,100,100,100
tone-24,24,35.8,good,-4,100,100,100,100
tone-24,24,35.8,moderate,-26,100,2,0,0
tone-24,24,35.8,moderate,-24,100,12,1,1
tone-24,24,35.8,moderate,-22,100,38,1,0
tone-24,24,35.8,moderate,-20,100,58,5,7
tone-24,24,35.8,moderate,-18,100,82,27,32
tone-24,24,35.8,moderate,-16,100,99,74,74
tone-24,24,35.8,moderate,-14,100,98,85,86
tone-24,24,35.8,moderate,-12,100,100,97,97
tone-24,24,35.8,moderate,-10,100,100,100,100
tone-24,24,35.8,moderate,-8,100,100,100,100
tone-24,24,35.8,moderate,-6,100,100,100,100
tone-24,24,35.8,moderate,-4,100,100,100,100
tone-24,24,35.8,poor,-26,100,2,0,0
tone-24,24,35.8,poor,-24,100,9,0,0
tone-24,24,35.8,poor,-22,100,33,0,0
tone-24,24,35.8,poor,-20,100,68,2,0
tone-24,24,35.8,poor,-18,100,87,19,20
tone-24,24,35.8,poor,-16,100,97,73,77
tone-24,24,35.8,poor,-14,100,100,96,95
tone-24,24,35.8,poor,-12,100,100,100,100
tone-24,24,35.8,poor,-10,100,100,100,100
tone-24,24,35.8,poor,-8,100,100,100,100
tone-24,24,35.8,poor,-6,100,100,100,100
tone-24,24,35.8,poor,-4,100,100,100,100
tone-36,36,53.7,awgn,-26,100,0,0,0
tone-36,36,53.7,awgn,-25,100,0,0,0
tone-36,36,53.7,awgn,-24,100,10,0,0
tone-36,36,53.7,awgn,-23,100,21,0,0
tone-36,36,53.7,awgn,-22,100,55,0,0
tone-36,36,53.7,awgn,-21,100,91,0,0
tone-36,36,53.7,awgn,-20,100,98,0,0
tone-36,36,53.7,awgn,-19,100,100,2,2
tone-36,36,53.7,awgn,-18,100,100,66,74
tone-36,36,53.7,awgn,-17,100,100,100,100
tone-36,36,53.7,awgn,-16,100,100,100,100
tone-36,36,53.7,awgn,-15,100,100,100,100
tone-36,36,53.7,awgn,-14,100,100,100,100
tone-36,36,53.7,good,-26,100,4,0,0
tone-36,36,53.7,good,-24,100,26,0,0
tone-36,36,53.7,good,-22,100,33,3,3
tone-36,36,53.7,good,-20,100,55,9,10
tone-36,36,53.7,good,-18,100,77,23,24
tone-36,36,53.7,good,-16,100,87,47,45
tone-36,36,53.7,good,-14,100,96,62,62
tone-36,36,53.7,good,-12,100,99,75,76
tone-36,36,53.7,good,-10,100,100,83,83
tone-36,36,53.7,good,-8,100,100,95,95
tone-36,36,53.7,good,-6,100,99,91,90
tone-36,36,53.7,good,-4,100,100,97,97
tone-36,36,53.7,moderate,-26,100,3,0,0
tone-36,36,53.7,moderate,-24,100,16,0,0
tone-36,36,53.7,moderate,-22,100,41,0,0
tone-36,36,53.7,moderate,-20,100,59,0,0
tone-36,36,53.7,moderate,-18,100,84,2,2
tone-36,36,53.7,moderate,-16,100,92,17,19
tone-36,36,53.7,moderate,-14,100,99,52,52
tone-36,36,53.7,moderate,-12,100,99,78,78
tone-36,36,53.7,moderate,-10,100,100,92,90
tone-36,36,53.7,moderate,-8,100,100,97,97
tone-36,36,53.7,moderate,-6,100,100,100,100
tone-36,36,53.7,moderate,-4,100,100,100,100
tone-36,36,53.7,poor,-26,100,1,0,0
tone-36,36,53.7,poor,-24,100,7,0,0
tone-36,36,53.7,poor,-22,100,32,0,0
tone-36,36,53.7,poor,-20,100,64,0,0
tone-36,36,53.7,poor,-18,100,81,0,1
tone-36,36,53.7,poor,-16,100,99,10,10
tone-36,36,53.7,poor,-14,100,99,45,46
tone-36,36,53.7,poor,-12,100,99,81,80
tone-36,36,53.7,poor,-10,100,100,97,96
tone-36,36,53.7,poor,-8,100,100,100,100
tone-36,36,53.7,poor,-6,100,100,100,100
tone-36,36,53.7,poor,-4,100,100,100,100
